"car","distance","consume","speed","temp_inside","temp_outside","specials","gas_type","AC","rain","sun","refill.liters"
"1",28,5,26,21.5,12,"","E10",0,0,0,45
"2",12,4.2,30,21.5,13,"","E10",0,0,0,NA
"3",11.2,5.5,38,21.5,15,"","E10",0,0,0,NA
"4",12.9,3.9,36,21.5,14,"","E10",0,0,0,NA
"5",18.5,4.5,46,21.5,15,"","E10",0,0,0,NA
"6",8.3,6.4,50,21.5,10,"","E10",0,0,0,NA
"7",7.8,4.4,43,21.5,11,"","E10",0,0,0,NA
"8",12.3,5,40,21.5,6,"","E10",0,0,0,NA
"9",4.9,6.4,26,21.5,4,"","E10",0,0,0,NA
"10",11.9,5.3,30,21.5,9,"","E10",0,0,0,NA
"11",12.4,5.6,42,21.5,4,"","E10",0,0,0,NA
"12",11.8,4.6,38,21.5,0,"","E10",0,0,0,NA
"13",12.3,5.9,59,21.5,10,"","E10",0,0,0,NA
"14",24.7,5.1,58,21.5,12,"","E10",0,0,0,NA
"15",12.4,4.7,46,21.5,11,"","E10",0,0,0,NA
"16",17.3,5.1,24,21.5,5,"","E10",0,0,0,NA
"17",33.4,5.6,36,21.5,3,"","E10",0,0,0,NA
"18",11.8,5.1,32,21.5,3,"","E10",0,0,0,NA
"19",25.9,4.9,39,21.5,8,"","E10",0,0,0,NA
"20",11.8,4.7,40,21.5,4,"","E10",0,0,0,NA
"21",25.3,5.5,32,21.5,3,"","E10",0,0,0,NA
"22",14.2,5.9,38,21.5,1,"","E10",0,0,0,NA
"23",17.9,5.7,37,21.5,1,"","E10",0,0,0,NA
"24",11.8,4.7,36,21.5,1,"","E10",0,0,0,NA
"25",12.3,5.9,62,21.5,6,"","E10",0,0,0,NA
"26",12.4,4.1,57,21.5,9,"","E10",0,0,0,NA
"27",18.4,5.7,21,22.5,2,"","E10",0,0,0,NA
"28",18.4,5.8,28,21.5,3,"","E10",0,0,0,NA
"29",18.3,5.5,29,21.5,1,"","E10",0,0,0,NA
"30",18.4,5.7,35,21.5,4,"","E10",0,0,0,NA
"31",12.3,5.3,51,21.5,11,"","E10",0,0,0,NA
"32",11.8,5,29,21.5,10,"","E10",0,0,0,NA
"33",12.3,5.6,58,21.5,8,"","E10",0,0,0,NA
"34",32.6,4.8,40,21.5,7,"","E10",0,0,0,NA
"35",19,4.3,36,21.5,7,"","E10",0,0,0,NA
"36",12.1,5.7,36,21.5,8,"","E10",0,0,0,NA
"37",20,5.2,37,21.5,4,"","E10",0,0,0,NA
"38",11.8,4.8,23,21.5,9,"","E10",0,0,0,NA
"39",12.3,6.5,58,21.5,7,"","E10",0,0,0,NA
"40",12.4,4,55,21.5,7,"AC rain","E10",1,1,0,NA
"41",4.5,5,29,21.5,7,"AC","E10",1,0,0,NA
"42",11.7,4.6,37,21.5,6,"","E10",0,0,0,NA
"43",10.2,4.3,44,21.5,7,"","E10",0,0,0,NA
"44",5.4,3.3,32,21.5,7,"","SP98",0,0,0,37.6
"45",14.2,5.1,32,21.5,7,"","SP98",0,0,0,NA
"46",16,4.9,25,21.5,8,"","SP98",0,0,0,NA
"47",11.8,4.9,25,21.5,11,"","SP98",0,0,0,NA
"48",27.3,4.7,36,21.5,10,"","SP98",0,0,0,NA
"49",11.8,5.1,29,21.5,5,"rain","SP98",0,1,0,NA
"50",10.6,4.9,63,21.5,6,"","SP98",0,0,0,NA
"51",11.6,4.2,61,21.5,7,"","SP98",0,0,0,NA
"52",13.1,6.1,46,21.5,6,"rain","SP98",0,1,0,NA
"53",6.1,6.4,28,21.5,8,"","SP98",0,0,0,NA
"54",11.8,4.9,24,21.5,7,"","SP98",0,0,0,NA
"55",12.3,6.2,61,21.5,8,"","SP98",0,0,0,NA
"56",12.4,4.2,57,21.5,8,"","SP98",0,0,0,NA
"57",12.3,5.7,52,21.5,8,"rain","SP98",0,1,0,NA
"58",9.8,5.8,24,21.5,6,"","SP98",0,0,0,NA
"59",6.8,5.3,26,21.5,6,"","SP98",0,0,0,NA
"60",12.4,5.4,24,21.5,7,"","SP98",0,0,0,NA
"61",12.4,4.7,57,21.5,8,"","SP98",0,0,0,NA
"62",11.8,4.6,41,21.5,6,"","SP98",0,0,0,NA
"63",12.3,5.4,55,21.5,8,"","SP98",0,0,0,NA
"64",14,4.3,40,21.5,8,"","SP98",0,0,0,NA
"65",11.8,4.5,37,21.5,4,"AC","SP98",1,0,0,NA
"66",12.3,5.2,55,21.5,12,"","SP98",0,0,0,NA
"67",2,6.2,20,21.5,10,"","SP98",0,0,0,NA
"68",13.9,5.1,29,21.5,6,"","SP98",0,0,0,NA
"69",9.7,3.9,42,21.5,8,"","SP98",0,0,0,NA
"70",11.6,5,25,21.5,6,"","SP98",0,0,0,NA
"71",14.2,5.4,38,21.5,7,"","SP98",0,0,0,NA
"72",11.8,4.5,39,21.5,6,"","SP98",0,0,0,NA
"73",24.8,5.1,50,21.5,9,"","SP98",0,0,0,NA
"74",12.4,4.7,56,21.5,7,"","SP98",0,0,0,NA
"75",34.8,4,28,20,4,"","SP98",0,0,0,NA
"76",14.2,5.4,36,20,6,"","SP98",0,0,0,NA
"77",5.2,4.5,39,20,10,"","SP98",0,0,0,NA
"78",10.5,3.6,42,20,10,"","SP98",0,0,0,37.7
"79",12.3,5.2,57,20,10,"","SP98",0,0,0,NA
"80",11.8,4.9,25,20,11,"","SP98",0,0,0,NA
"81",12.3,6.2,58,20,11,"rain","SP98",0,1,0,NA
"82",13.2,4.3,51,20,11,"rain","SP98",0,1,0,NA
"83",13,5,45,20,11,"rain","SP98",0,1,0,NA
"84",12.9,5.1,32,20,11,"","SP98",0,0,0,NA
"85",13.9,5.6,22,20,8,"","SP98",0,0,0,NA
"86",11.8,4.3,37,20,6,"","SP98",0,0,0,NA
"87",12.2,5.8,60,20,11,"","SP98",0,0,0,NA
"88",12.5,4,51,20,13,"","SP98",0,0,0,NA
"89",12.4,4.7,43,NA,10,"","SP98",0,0,0,NA
"90",11.8,5.9,21,20,9,"AC rain","SP98",1,1,0,NA
