"id","cnt"
366,2097
367,1667
368,1799
369,1783
370,2218
371,2394
372,2359
373,2068
374,2080
375,2284
376,2035
377,2378
378,2145
379,1566
380,1509
381,1446
382,2085
383,2222
384,2008
385,1955
386,1230
387,1145
388,1960
389,2372
390,2240
391,2430
392,2239
393,2083
394,1953
395,2273
396,2590
397,2922
398,2508
399,2397
400,1657
401,1544
402,2337
403,2624
404,2107
405,2255
406,2269
407,1038
408,1447
409,2265
410,2436
411,2540
412,2396
413,2465
414,2220
415,1573
416,1671
417,2327
418,2648
419,2865
420,2365
421,2088
422,1928
423,2521
424,2647
425,2277
426,3052
427,2455
428,2271
429,2105
430,2276
431,2397
432,2709
433,3151
434,2323
435,2048
436,2272
437,3020
438,3264
439,3349
440,3249
441,2678
442,2708
443,2498
444,3204
445,3249
446,3021
447,3304
448,3133
449,2792
450,2303
451,2936
452,3038
453,3347
454,3502
455,2597
456,2422
457,2725
458,3299
459,3797
460,3876
461,3719
462,3483
463,3411
464,3393
465,3537
466,3637
467,3256
468,3511
469,3594
470,3564
471,3440
472,3383
473,3957
474,3243
475,3610
476,3547
477,3428
478,1490
479,2144
480,3505
481,3748
482,3092
483,3555
484,2842
485,3190
486,3205
487,3865
488,3929
489,3565
490,3943
491,3221
492,3424
493,3543
494,3505
495,3523
496,4031
497,4198
498,3955
499,3636
500,3465
501,3674
502,4036
503,4154
504,4074
505,3993
506,3605
507,3410
508,3751
509,3698
510,3955
511,3863
512,3660
513,3529
514,3785
515,3918
516,3784
517,4123
518,3320
519,3750
520,3725
521,4015
522,3722
523,4106
524,4096
525,4111
526,3819
527,3743
528,3796
529,3493
530,3980
531,4055
532,3988
533,3769
534,3661
535,3542
536,3989
537,3926
538,3816
539,3741
540,3716
541,3748
542,3901
543,4229
544,4248
545,4101
546,3603
547,3618
548,3460
549,3954
550,4082
551,3520
552,3848
553,3689
554,3266
555,3423
556,3727
557,3842
558,3965
559,4017
560,3841
561,3123
562,3382
563,3748
564,3918
565,3826
566,3820
567,3101
568,1964
569,3595
570,3770
571,3813
572,4102
573,3734
574,3622
575,3483
576,3467
577,3774
578,3853
579,3832
580,3751
581,3242
582,3058
583,3006
584,3778
585,3751
586,3690
587,3771
588,3114
589,2710
590,3587
591,3905
592,3799
593,3853
594,3924
595,3809
596,3447
597,3528
598,3665
599,3974
600,3893
601,3835
602,3627
603,2540
604,2812
605,3706
606,3827
607,3959
608,3848
609,3599
610,3094
611,3456
612,3539
613,3531
614,3549
615,3267
616,3445
617,2209
618,3198
619,3706
620,4032
621,3875
622,3796
623,3606
624,3216
625,3440
626,3448
627,2705
628,3796
629,3768
630,3545
631,2984
632,3306
633,3768
634,3674
635,3580
636,3283
637,3155
638,3259
639,3317
640,3593
641,2793
642,3376
643,3220
644,3444
645,2992
646,2784
647,2795
648,2929
649,3446
650,3513
651,3250
652,3000
653,2876
654,3016
655,3533
656,3361
657,2860
658,2898
659,3140
660,3078
661,3617
662,3621
663,3597
664,2973
665,2889
666,2523
667,2227
668,1982
669,2492
670,2883
671,2928
672,2953
673,2274
674,2455
675,3002
676,3004
677,2562
678,3315
679,2961
680,2718
681,2659
682,2764
683,2429
684,2956
685,2805
686,2979
687,2512
688,2266
689,2788
690,3042
691,3136
692,2067
693,2991
694,2502
695,2364
696,3217
697,2347
698,3008
699,3075
700,2890
701,2332
702,2239
703,3163
704,3114
705,3141
706,3001
707,2516
708,2323
709,2167
710,2567
711,2604
712,2819
713,3082
714,2753
715,2380
716,2343
717,2784
718,3008
719,2934
720,2780
721,2205
722,1748
723,1891
724,2626
725,1824
726,1982
727,2278
728,2451
729,1694
730,1821
731,2509
