"id","cnt"
366,1139
367,1421
368,1417
369,1409
370,1641
371,1652
372,1522
373,1326
374,1255
375,1508
376,1334
377,1429
378,1606
379,1237
380,1169
381,1234
382,1405
383,1482
384,1453
385,1569
386,1084
387,1035
388,1132
389,1338
390,1478
391,1355
392,1859
393,1411
394,1315
395,1592
396,1769
397,2581
398,1822
399,1842
400,1497
401,1417
402,1770
403,1871
404,1606
405,1770
406,1793
407,1382
408,1495
409,1753
410,1788
411,1903
412,1658
413,1822
414,1810
415,1619
416,1776
417,1781
418,1987
419,2418
420,1932
421,1705
422,1731
423,1849
424,1920
425,1606
426,2847
427,1976
428,2103
429,1914
430,1991
431,2012
432,2138
433,2703
434,2155
435,2004
436,2068
437,2768
438,2935
439,2905
440,2846
441,2266
442,2547
443,2488
444,2761
445,2765
446,3037
447,3142
448,2994
449,2772
450,2338
451,2598
452,2521
453,3105
454,3138
455,2325
456,2370
457,3174
458,3299
459,3710
460,3856
461,3350
462,3204
463,3309
464,3804
465,3514
466,3528
467,3044
468,3230
469,3314
470,3605
471,3928
472,3901
473,3993
474,3466
475,3715
476,3722
477,3794
478,2036
479,2821
480,3369
481,3762
482,3386
483,3375
484,2940
485,3541
486,3488
487,4268
488,4268
489,4024
490,4548
491,4176
492,4166
493,4136
494,3977
495,3964
496,4173
497,4671
498,4773
499,4686
500,3966
501,4059
502,4573
503,4538
504,4609
505,4886
506,4751
507,3948
508,4179
509,4083
510,4591
511,4550
512,4657
513,4651
514,4483
515,4397
516,4248
517,4696
518,4234
519,4892
520,4833
521,4623
522,4370
523,4713
524,4684
525,4899
526,5013
527,4812
528,4456
529,4161
530,4143
531,4818
532,4802
533,4982
534,4749
535,4114
536,4644
537,4509
538,4496
539,4572
540,4896
541,4864
542,4678
543,4321
544,4960
545,4843
546,4256
547,4752
548,4254
549,4661
550,4693
551,4601
552,4237
553,4183
554,4201
555,4063
556,4483
557,4523
558,4682
559,4738
560,4808
561,4454
562,4674
563,4521
564,4340
565,4412
566,4492
567,4020
568,3323
569,4532
570,4525
571,4634
572,4812
573,4559
574,4469
575,4761
576,4886
577,4558
578,4666
579,4544
580,4412
581,4309
582,4637
583,4515
584,4349
585,4367
586,4303
587,4524
588,4187
589,4193
590,4859
591,4676
592,4518
593,4676
594,4754
595,4606
596,4826
597,4515
598,4299
599,4837
600,4822
601,4733
602,4635
603,4162
604,3846
605,4472
606,4665
607,4788
608,4850
609,4530
610,4561
611,4477
612,4497
613,4586
614,4553
615,4216
616,4572
617,4051
618,4809
619,4701
620,4916
621,4647
622,4761
623,4660
624,4842
625,4857
626,4386
627,3065
628,4635
629,4629
630,4550
631,4759
632,4728
633,4577
634,4629
635,4643
636,4322
637,4284
638,4777
639,4698
640,4227
641,3069
642,4047
643,4109
644,4593
645,4747
646,3440
647,3327
648,3546
649,4587
650,3977
651,4101
652,3876
653,4731
654,3816
655,4420
656,4110
657,3837
658,3718
659,4696
660,4393
661,4640
662,4743
663,4831
664,3709
665,3700
666,4133
667,3346
668,2002
669,3085
670,3368
671,3171
672,3481
673,3421
674,3288
675,3410
676,3324
677,3305
678,3056
679,3464
680,3494
681,3493
682,3725
683,3062
684,3456
685,3217
686,3421
687,3493
688,3289
689,3407
690,3365
691,3543
692,2923
693,3379
694,3086
695,3000
696,3438
697,3082
698,3467
699,3211
700,3370
701,3197
702,2898
703,3529
704,3522
705,3377
706,3043
707,3267
708,2657
709,2467
710,2642
711,3181
712,3325
713,3279
714,3407
715,3355
716,2927
717,2818
718,3345
719,3431
720,3360
721,2062
722,1859
723,1838
724,1946
725,1700
726,1707
727,1904
728,2053
729,1749
730,1777
731,1982
