"id","cnt"
366,1424
367,1458
368,1389
369,1350
370,1628
371,1642
372,1481
373,1495
374,1513
375,1777
376,1443
377,1416
378,1577
379,1131
380,1191
381,1270
382,1525
383,1616
384,1334
385,1356
386,1002
387,1120
388,1212
389,1607
390,1637
391,1421
392,1742
393,1412
394,1453
395,1671
396,1740
397,2772
398,1609
399,1804
400,1481
401,1539
402,1784
403,1899
404,1671
405,1696
406,1737
407,1244
408,1480
409,1722
410,1888
411,1794
412,1659
413,1744
414,1598
415,1610
416,1699
417,1837
418,1751
419,2422
420,1798
421,1594
422,1699
423,1797
424,1925
425,1612
426,3034
427,1835
428,2076
429,1805
430,1937
431,1981
432,1943
433,2863
434,1894
435,1839
436,1906
437,3017
438,3124
439,3123
440,3015
441,2311
442,3065
443,2952
444,3044
445,3072
446,3207
447,3306
448,3205
449,3251
450,2365
451,2593
452,2339
453,3390
454,3402
455,2016
456,2229
457,2893
458,3084
459,3849
460,3990
461,3123
462,2765
463,3134
464,4140
465,3621
466,3182
467,2783
468,2824
469,3138
470,4219
471,4224
472,4160
473,4262
474,3621
475,3894
476,3803
477,4243
478,2233
479,2553
480,2891
481,3923
482,3734
483,3314
484,2651
485,3647
486,3674
487,4299
488,4384
489,4119
490,4620
491,4310
492,4371
493,4242
494,4160
495,4110
496,4382
497,4659
498,4821
499,4616
500,4178
501,4265
502,4609
503,4528
504,4655
505,4887
506,4638
507,4171
508,4269
509,4208
510,4577
511,4613
512,4717
513,4611
514,4540
515,4517
516,4247
517,4649
518,4166
519,4818
520,4766
521,4626
522,4359
523,4730
524,4630
525,4871
526,4955
527,4757
528,4476
529,4309
530,4204
531,4691
532,4759
533,4911
534,4682
535,4259
536,4685
537,4478
538,4340
539,4452
540,4935
541,4772
542,4723
543,4383
544,4933
545,4712
546,4121
547,4792
548,4179
549,4586
550,4666
551,4470
552,4229
553,4200
554,4033
555,3920
556,4516
557,4553
558,4809
559,4742
560,4682
561,4547
562,4476
563,4295
564,4218
565,4435
566,4440
567,4094
568,3543
569,4514
570,4452
571,4578
572,4946
573,4403
574,4410
575,4777
576,4927
577,4565
578,4766
579,4652
580,4433
581,4148
582,4463
583,4239
584,4233
585,4255
586,4111
587,4543
588,4133
589,4275
590,4807
591,4697
592,4581
593,4754
594,4751
595,3879
596,4879
597,4528
598,4281
599,4966
600,4902
601,4773
602,4549
603,4231
604,4058
605,4573
606,4731
607,4815
608,4850
609,4587
610,4468
611,4465
612,4406
613,4496
614,4439
615,3957
616,4650
617,4114
618,4657
619,4594
620,4735
621,4642
622,4727
623,4767
624,4874
625,4726
626,4225
627,3225
628,4614
629,4668
630,4660
631,4804
632,4776
633,4666
634,4710
635,4774
636,4191
637,4283
638,4889
639,4740
640,4450
641,3459
642,4350
643,4188
644,4792
645,4858
646,3408
647,3117
648,3415
649,4670
650,3735
651,3711
652,3689
653,4693
654,4154
655,4469
656,4065
657,4101
658,4202
659,4880
660,4367
661,4677
662,4733
663,4788
664,4120
665,4136
666,4404
667,3609
668,2527
669,3222
670,3370
671,3167
672,3384
673,3341
674,3362
675,3309
676,3241
677,3079
678,3099
679,3450
680,3734
681,3477
682,4186
683,3024
684,3324
685,3269
686,3464
687,3569
688,3345
689,3184
690,3385
691,3642
692,3218
693,3425
694,3056
695,3150
696,3455
697,3080
698,3316
699,3417
700,3587
701,3327
702,3228
703,3608
704,4045
705,3241
706,3057
707,3345
708,2994
709,2794
710,2768
711,3124
712,3088
713,3081
714,3409
715,3492
716,3251
717,3036
718,3323
719,3341
720,3353
721,2047
722,1880
723,2073
724,2146
725,1875
726,1787
727,2006
728,2199
729,1982
730,1852
731,2010
