"id","cnt"
366,1221
367,1407
368,1365
369,1388
370,1521
371,1565
372,1384
373,1413
374,1329
375,1614
376,1336
377,1321
378,1532
379,1156
380,1064
381,1282
382,1326
383,1533
384,1322
385,1422
386,1050
387,1058
388,1065
389,1382
390,1590
391,1281
392,1723
393,1361
394,1309
395,1552
396,1567
397,2591
398,1811
399,1957
400,1466
401,1549
402,1835
403,1928
404,1651
405,1821
406,1757
407,1276
408,1648
409,1766
410,1798
411,1941
412,1682
413,1962
414,1924
415,1674
416,1847
417,1855
418,1994
419,2560
420,1832
421,1868
422,1954
423,1888
424,1939
425,1626
426,2831
427,1906
428,2034
429,2050
430,1968
431,2009
432,2088
433,2715
434,1964
435,2073
436,2154
437,2741
438,2796
439,2831
440,2812
441,2239
442,2544
443,2456
444,2680
445,2677
446,3126
447,3238
448,2989
449,2800
450,2308
451,2661
452,2352
453,3279
454,3274
455,2075
456,2289
457,2984
458,3243
459,3988
460,4137
461,3266
462,2959
463,3333
464,4051
465,3547
466,3392
467,2914
468,3070
469,3261
470,4118
471,4196
472,4051
473,4197
474,3411
475,3974
476,3925
477,4217
478,1901
479,2419
480,3039
481,4028
482,3397
483,3383
484,2806
485,3694
486,3437
487,4371
488,4330
489,4077
490,4585
491,4252
492,4384
493,4274
494,4224
495,4064
496,4375
497,4797
498,5049
499,4638
500,4192
501,4316
502,4430
503,4560
504,4746
505,5094
506,4699
507,4185
508,4317
509,4218
510,4417
511,4556
512,4860
513,4566
514,4396
515,4385
516,4166
517,4641
518,4149
519,5076
520,4873
521,4810
522,4452
523,4707
524,4640
525,4955
526,5097
527,4763
528,4516
529,4251
530,4290
531,4647
532,4749
533,5100
534,4703
535,4315
536,4554
537,4434
538,4435
539,4568
540,5080
541,4804
542,4794
543,4350
544,4877
545,4806
546,4447
547,5021
548,4379
549,4695
550,4677
551,4523
552,4397
553,4434
554,4790
555,4177
556,4434
557,4426
558,4579
559,4645
560,4765
561,4565
562,4585
563,4449
564,4416
565,4404
566,4456
567,3929
568,3295
569,4453
570,4430
571,4514
572,4857
573,4447
574,4463
575,5066
576,4801
577,4496
578,4602
579,4484
580,4363
581,4262
582,4861
583,4490
584,4275
585,4299
586,4135
587,4476
588,4057
589,4271
590,4778
591,4677
592,4495
593,4590
594,4728
595,4589
596,4990
597,4535
598,4290
599,4780
600,4666
601,4663
602,4615
603,4183
604,3980
605,4514
606,4617
607,4694
608,4697
609,4562
610,4584
611,4529
612,4303
613,4438
614,4462
615,3940
616,4595
617,3911
618,4693
619,4762
620,4939
621,4702
622,4780
623,4703
624,4971
625,4778
626,4311
627,3033
628,4707
629,4678
630,4687
631,4892
632,4846
633,4868
634,4732
635,4730
636,4273
637,4423
638,4977
639,4782
640,4602
641,3310
642,4478
643,4196
644,4815
645,4855
646,3608
647,3423
648,3747
649,4725
650,4125
651,4135
652,3963
653,4722
654,4153
655,4643
656,4457
657,3965
658,4120
659,4971
660,4525
661,4730
662,4819
663,4871
664,4074
665,4126
666,4287
667,3212
668,2273
669,3336
670,3507
671,3265
672,3478
673,3291
674,3362
675,3474
676,3410
677,3261
678,2972
679,3494
680,3606
681,3586
682,3863
683,2937
684,3497
685,3311
686,3457
687,3506
688,3316
689,3386
690,3525
691,3620
692,3100
693,3361
694,2811
695,3193
696,3517
697,3223
698,3531
699,3409
700,3472
701,3261
702,3139
703,3597
704,3826
705,3434
706,3206
707,3274
708,2991
709,2750
710,2876
711,3198
712,3259
713,3383
714,3404
715,3476
716,3203
717,3096
718,3328
719,3411
720,3336
721,2193
722,2083
723,1973
724,1965
725,1658
726,1736
727,2128
728,2255
729,1997
730,1770
731,1915
