"id","cnt"
366,1816
367,1599
368,1324
369,1421
370,1572
371,2024
372,2138
373,1823
374,1576
375,1722
376,1479
377,1981
378,1760
379,1257
380,1218
381,1163
382,1723
383,1682
384,1393
385,1544
386,388
387,516
388,1269
389,1640
390,1658
391,1879
392,1806
393,1806
394,1738
395,1845
396,2165
397,2614
398,2181
399,2135
400,1007
401,1089
402,1863
403,2176
404,1633
405,1713
406,1926
407,-130
408,1117
409,1875
410,2053
411,2146
412,1903
413,2175
414,2116
415,1189
416,1515
417,1805
418,2295
419,2470
420,2019
421,1902
422,1733
423,2148
424,2251
425,1818
426,2872
427,2207
428,1953
429,2114
430,1877
431,1985
432,2492
433,3072
434,1797
435,2159
436,2248
437,2823
438,3177
439,3195
440,3036
441,2448
442,2528
443,2281
444,3078
445,3004
446,2856
447,3118
448,3081
449,2895
450,2512
451,2649
452,2462
453,3129
454,3417
455,2213
456,2325
457,2910
458,3061
459,3361
460,3836
461,3670
462,3642
463,4179
464,3801
465,3326
466,3445
467,3065
468,3536
469,3672
470,4510
471,4045
472,4167
473,4050
474,3068
475,3357
476,3775
477,4627
478,1635
479,1677
480,3262
481,3575
482,3180
483,3846
484,3060
485,3308
486,2914
487,4251
488,4363
489,4114
490,4707
491,3667
492,4296
493,3909
494,4036
495,4060
496,4637
497,4951
498,5161
499,4950
500,3898
501,4089
502,4523
503,4685
504,4815
505,5169
506,5004
507,3937
508,4116
509,4111
510,4529
511,4592
512,4867
513,4902
514,5030
515,4685
516,4286
517,4553
518,4074
519,5087
520,4980
521,4761
522,4236
523,4617
524,4809
525,5008
526,4874
527,4866
528,4415
529,4217
530,5017
531,4799
532,4958
533,5085
534,4830
535,4006
536,4573
537,4399
538,4128
539,4373
540,5145
541,5105
542,4781
543,5266
544,5313
545,4729
546,3820
547,4961
548,4465
549,4572
550,4696
551,4623
552,4170
553,4047
554,3703
555,4194
556,4510
557,4668
558,4922
559,4828
560,4449
561,3681
562,4521
563,4265
564,4339
565,4464
566,4470
567,4055
568,1537
569,4693
570,4334
571,4624
572,5123
573,4413
574,4267
575,4774
576,4785
577,4404
578,4699
579,4742
580,4447
581,3757
582,3765
583,4034
584,4387
585,4463
586,4441
587,4520
588,3856
589,3106
590,4737
591,4601
592,4625
593,4899
594,4811
595,5654
596,5015
597,4497
598,4389
599,4767
600,4798
601,4764
602,4403
603,2887
604,3850
605,4343
606,4770
607,5006
608,4722
609,4521
610,3465
611,3810
612,4214
613,4362
614,4376
615,4164
616,4588
617,2342
618,3901
619,4421
620,4782
621,5058
622,4912
623,4899
624,4712
625,3861
626,3852
627,3331
628,5070
629,4987
630,4952
631,4332
632,4145
633,4310
634,4598
635,4902
636,4414
637,4270
638,5131
639,3886
640,3998
641,2977
642,4381
643,4309
644,4903
645,4521
646,2882
647,3170
648,3266
649,4756
650,4881
651,4842
652,4889
653,3405
654,3588
655,4290
656,4482
657,3840
658,3904
659,5109
660,3591
661,3965
662,4235
663,4831
664,3986
665,3902
666,3033
667,2385
668,1718
669,2312
670,3599
671,3612
672,4175
673,2477
674,2420
675,3281
676,3217
677,2767
678,4244
679,4257
680,4208
681,2597
682,3038
683,2588
684,3706
685,3330
686,4288
687,3848
688,2065
689,3084
690,3294
691,4061
692,2579
693,4320
694,3390
695,2141
696,3231
697,2183
698,3841
699,3882
700,3918
701,2455
702,1705
703,3428
704,3809
705,4073
706,3703
707,2960
708,2389
709,1586
710,2639
711,2956
712,3312
713,3940
714,3713
715,3424
716,1825
717,2784
718,3665
719,3714
720,3238
721,1586
722,1118
723,1030
724,2161
725,628
726,518
727,1488
728,2493
729,829
730,937
731,2098
