"id","cnt"
366,1939
367,1898
368,1546
369,1335
370,1697
371,1977
372,2352
373,2003
374,1566
375,1805
376,1366
377,1829
378,1563
379,1386
380,1336
381,1577
382,1615
383,1686
384,1465
385,1527
386,774
387,501
388,1252
389,1678
390,1674
391,1844
392,1718
393,1937
394,1877
395,2050
396,2257
397,2555
398,2026
399,2002
400,1406
401,1017
402,1916
403,2227
404,1490
405,1739
406,1875
407,509
408,1028
409,1997
410,1967
411,2085
412,1866
413,2034
414,2170
415,1109
416,1891
417,1885
418,2201
419,2413
420,1975
421,1442
422,1798
423,2267
424,2310
425,1653
426,2754
427,2153
428,2238
429,1975
430,1971
431,2072
432,2380
433,2830
434,1749
435,1933
436,2201
437,2798
438,3048
439,3149
440,3009
441,2434
442,2830
443,2014
444,2854
445,2829
446,2746
447,3043
448,3294
449,3264
450,2522
451,2835
452,2494
453,3021
454,3026
455,2438
456,2741
457,2941
458,3241
459,3517
460,3907
461,3477
462,3227
463,3784
464,3981
465,3589
466,3444
467,2954
468,3227
469,3551
470,4216
471,4233
472,4278
473,4073
474,3094
475,3590
476,3800
477,4308
478,1631
479,1961
480,3278
481,3693
482,3077
483,3423
484,3124
485,3589
486,3037
487,4242
488,4515
489,4094
490,4639
491,4088
492,4138
493,3863
494,3949
495,4017
496,4305
497,4607
498,4818
499,4648
500,3874
501,4153
502,4721
503,4595
504,4748
505,4920
506,4657
507,3881
508,4206
509,4207
510,4686
511,4638
512,4618
513,4709
514,4792
515,4721
516,4295
517,4666
518,3908
519,4671
520,4672
521,4526
522,4131
523,4762
524,4813
525,4807
526,4793
527,4820
528,4324
529,4168
530,4757
531,4696
532,4768
533,4771
534,4611
535,3982
536,4804
537,4826
538,4556
539,4540
540,5007
541,5205
542,4847
543,5135
544,5216
545,4844
546,4315
547,4915
548,4426
549,4651
550,4815
551,4598
552,4467
553,4417
554,4359
555,4291
556,4196
557,4226
558,4961
559,4847
560,4317
561,4349
562,4425
563,4368
564,4572
565,4749
566,4619
567,3807
568,2602
569,4558
570,4408
571,4651
572,5149
573,4465
574,4472
575,4829
576,4628
577,4473
578,4729
579,4801
580,4560
581,3687
582,4215
583,4065
584,4061
585,4177
586,4118
587,4582
588,3689
589,3904
590,4716
591,4646
592,4744
593,4903
594,4774
595,4871
596,4889
597,4511
598,4185
599,4878
600,4885
601,4775
602,4202
603,3709
604,3869
605,4394
606,4844
607,5032
608,4772
609,4532
610,4411
611,4053
612,4275
613,4323
614,4452
615,3690
616,4484
617,3321
618,4278
619,4695
620,4924
621,4921
622,4790
623,4776
624,4742
625,4381
626,3875
627,3373
628,4882
629,4809
630,4757
631,4425
632,4563
633,4819
634,4936
635,4886
636,4047
637,4034
638,4896
639,4496
640,4085
641,2560
642,4028
643,3922
644,4924
645,4512
646,3561
647,3477
648,3616
649,4889
650,4901
651,4744
652,4806
653,4017
654,3728
655,4798
656,4804
657,3696
658,3750
659,5096
660,4300
661,4581
662,4708
663,4991
664,3778
665,3764
666,3603
667,2997
668,2163
669,3075
670,3852
671,3453
672,4110
673,2791
674,3441
675,3914
676,3861
677,2967
678,4156
679,4208
680,4560
681,3694
682,3683
683,3057
684,3894
685,3263
686,4279
687,3987
688,3132
689,3398
690,3445
691,4236
692,2940
693,4338
694,3110
695,3232
696,3977
697,2741
698,3984
699,4018
700,4117
701,2987
702,2645
703,3684
704,3897
705,4051
706,3650
707,2866
708,3019
709,2554
710,2734
711,3135
712,3166
713,3830
714,3705
715,3885
716,2748
717,2822
718,3867
719,3776
720,3020
721,1749
722,1135
723,1344
724,1662
725,1106
726,707
727,1645
728,1997
729,930
730,1172
731,1690
