"id","cnt"
366,1703
367,1547
368,1362
369,1288
370,1690
371,1948
372,2072
373,1813
374,1421
375,1693
376,1255
377,1737
378,1722
379,1390
380,1173
381,1376
382,1472
383,1779
384,1489
385,1438
386,611
387,430
388,1123
389,1649
390,1642
391,1706
392,1667
393,1736
394,1705
395,1807
396,2121
397,2535
398,2002
399,2069
400,1165
401,929
402,1796
403,2161
404,1462
405,1768
406,1793
407,736
408,907
409,1845
410,1914
411,2090
412,1770
413,2073
414,2063
415,988
416,1638
417,1798
418,2209
419,2445
420,1867
421,1672
422,1775
423,2050
424,2228
425,1595
426,2840
427,2137
428,2001
429,1966
430,1951
431,2100
432,2492
433,2920
434,2044
435,2293
436,2227
437,2687
438,2970
439,3165
440,3078
441,2331
442,2341
443,1952
444,2779
445,2857
446,2536
447,2960
448,3128
449,2598
450,2300
451,2771
452,2685
453,2982
454,3091
455,2360
456,2300
457,3024
458,3408
459,3756
460,3892
461,3613
462,3502
463,3674
464,3854
465,3708
466,3572
467,3147
468,3357
469,3674
470,3835
471,4140
472,3517
473,4058
474,3009
475,3625
476,3738
477,3816
478,1869
479,2095
480,3435
481,3765
482,2952
483,3643
484,2993
485,3726
486,3155
487,4279
488,4301
489,3959
490,4550
491,3913
492,4159
493,4015
494,3936
495,3950
496,4242
497,4867
498,4995
499,4610
500,3987
501,4144
502,4503
503,4518
504,4796
505,5128
506,4604
507,3999
508,4217
509,4204
510,4418
511,4553
512,4919
513,4710
514,4145
515,4547
516,4333
517,4628
518,4006
519,4862
520,4628
521,4653
522,4197
523,4617
524,4663
525,4961
526,5186
527,4786
528,4563
529,4192
530,4607
531,4570
532,4827
533,5025
534,4615
535,4142
536,4596
537,4648
538,4642
539,4701
540,5246
541,5130
542,4802
543,4941
544,5034
545,4917
546,4671
547,5262
548,4505
549,4616
550,4759
551,4226
552,4671
553,4726
554,5231
555,4542
556,4287
557,4356
558,4776
559,4842
560,4660
561,4440
562,4635
563,4425
564,4623
565,4700
566,4625
567,3862
568,2505
569,4452
570,4413
571,4536
572,5014
573,4470
574,4659
575,5239
576,4655
577,4466
578,4596
579,4679
580,4558
581,4130
582,4821
583,4304
584,4291
585,4477
586,4439
587,4583
588,3970
589,3936
590,4622
591,4632
592,4644
593,4763
594,4809
595,4704
596,5090
597,4386
598,4280
599,4816
600,4799
601,4722
602,4468
603,3680
604,3854
605,4412
606,4726
607,4946
608,4777
609,4664
610,4542
611,4257
612,4121
613,4234
614,4409
615,3854
616,4424
617,3153
618,4335
619,4650
620,5020
621,4874
622,4692
623,4668
624,4741
625,4535
626,4133
627,3346
628,4806
629,4678
630,4633
631,4472
632,4576
633,4816
634,4761
635,4681
636,4121
637,4234
638,4967
639,4701
640,4344
641,2890
642,4164
643,4015
644,4869
645,4642
646,3840
647,3480
648,3793
649,4648
650,4630
651,4522
652,4711
653,4122
654,3889
655,4702
656,4618
657,3550
658,3899
659,5030
660,4394
661,4669
662,4787
663,4855
664,3763
665,3897
666,3733
667,3083
668,2529
669,3332
670,3793
671,3393
672,3874
673,3151
674,3553
675,3888
676,3907
677,3029
678,3939
679,3971
680,4296
681,3875
682,3464
683,2987
684,3818
685,3227
686,4023
687,3971
688,3300
689,3513
690,3677
691,4115
692,2730
693,4075
694,3548
695,3442
696,4089
697,2895
698,3887
699,3888
700,3894
701,3149
702,3024
703,3832
704,3851
705,3823
706,3548
707,2912
708,3125
709,2915
710,3031
711,3020
712,3196
713,3688
714,3494
715,3695
716,3143
717,3194
718,3731
719,3631
720,2992
721,2136
722,2357
723,1585
724,1827
725,1509
726,1101
727,1818
728,2248
729,2138
730,1402
731,1778
