"id","cnt"
366,1666
367,1537
368,1290
369,1435
370,1654
371,1903
372,2120
373,1791
374,1494
375,1648
376,1336
377,1793
378,1767
379,1346
380,1224
381,1008
382,1473
383,1893
384,1392
385,1741
386,685
387,216
388,1094
389,1560
390,1656
391,1806
392,1853
393,1840
394,1794
395,1852
396,2196
397,2585
398,2121
399,1929
400,1108
401,804
402,1709
403,2087
404,1504
405,1699
406,1957
407,692
408,1132
409,1751
410,2011
411,2073
412,1784
413,1909
414,2029
415,1013
416,1284
417,1674
418,2236
419,2469
420,1936
421,2264
422,1681
423,2105
424,2199
425,1673
426,2745
427,2128
428,2180
429,2111
430,1737
431,1897
432,2526
433,3024
434,2305
435,2252
436,2150
437,2651
438,2931
439,3132
440,2994
441,2178
442,2481
443,1771
444,2773
445,2686
446,2722
447,2961
448,3248
449,2952
450,2180
451,2790
452,2500
453,3023
454,3148
455,2442
456,2593
457,2649
458,3130
459,3438
460,3678
461,3497
462,3365
463,3811
464,3493
465,3413
466,3356
467,2950
468,3277
469,3495
470,3937
471,3924
472,3629
473,3850
474,3076
475,3452
476,3610
477,4158
478,722
479,1675
480,3223
481,3478
482,2896
483,3537
484,3075
485,3418
486,2963
487,4359
488,4371
489,4100
490,4497
491,4210
492,3767
493,3822
494,3843
495,3932
496,4351
497,4916
498,4806
499,4404
500,3852
501,4199
502,4574
503,4634
504,4737
505,4862
506,4400
507,3849
508,4312
509,4350
510,4595
511,4497
512,4816
513,4598
514,4369
515,4592
516,4483
517,4739
518,4074
519,4777
520,4364
521,4413
522,4228
523,4618
524,4817
525,4960
526,5005
527,4593
528,4515
529,4197
530,4520
531,4766
532,4827
533,4907
534,4402
535,4078
536,4703
537,4761
538,4734
539,4704
540,5242
541,5018
542,4804
543,5001
544,4961
545,4986
546,4633
547,5236
548,4546
549,4608
550,4740
551,4595
552,4716
553,4672
554,5052
555,4638
556,4443
557,4628
558,4859
559,4966
560,5072
561,4693
562,4823
563,4538
564,4586
565,4766
566,4765
567,3941
568,2529
569,4647
570,4577
571,4624
572,4948
573,4615
574,4656
575,5160
576,4766
577,4609
578,4696
579,4808
580,4742
581,4352
582,4695
583,4413
584,4522
585,4830
586,4797
587,4749
588,4121
589,4129
590,4646
591,4683
592,4788
593,4824
594,4937
595,4727
596,5000
597,4561
598,4462
599,4982
600,4951
601,4904
602,4833
603,3866
604,3836
605,4586
606,4819
607,4968
608,4934
609,4663
610,4781
611,4624
612,4670
613,4293
614,4584
615,4243
616,4453
617,3272
618,4376
619,4696
620,5041
621,4897
622,4901
623,4708
624,4686
625,4559
626,4208
627,3093
628,4785
629,4892
630,4689
631,4391
632,4824
633,4972
634,4881
635,4703
636,4279
637,3968
638,4975
639,4954
640,4445
641,2711
642,4197
643,4118
644,4318
645,4503
646,3911
647,3644
648,3634
649,4604
650,4837
651,4570
652,4615
653,4416
654,3774
655,4743
656,4459
657,3605
658,3364
659,4846
660,4520
661,4728
662,4630
663,4710
664,3678
665,3372
666,3768
667,2932
668,1496
669,2955
670,3742
671,3709
672,4253
673,3383
674,3619
675,4146
676,4049
677,3200
678,4729
679,4186
680,4124
681,4088
682,3680
683,3044
684,3915
685,3424
686,4182
687,3855
688,3507
689,3489
690,3674
691,4066
692,2555
693,4078
694,3769
695,3340
696,4210
697,2640
698,4051
699,3962
700,3642
701,2963
702,3003
703,3895
704,3842
705,4226
706,3795
707,2621
708,2988
709,2934
710,2680
711,3208
712,3421
713,3981
714,3447
715,3463
716,3187
717,2920
718,3841
719,3695
720,3135
721,2245
722,1920
723,1015
724,1478
725,834
726,381
727,1625
728,2140
729,1071
730,1143
731,1521
