"id","cnt"
366,1670
367,1412
368,1352
369,1312
370,1561
371,1949
372,2136
373,1745
374,1482
375,1731
376,1380
377,1905
378,1813
379,1272
380,1134
381,1089
382,1446
383,1738
384,1408
385,1534
386,677
387,345
388,1216
389,1652
390,1616
391,1790
392,1929
393,1841
394,1662
395,1839
396,2136
397,2527
398,2106
399,2038
400,1089
401,920
402,1880
403,2191
404,1539
405,1741
406,1862
407,587
408,968
409,1909
410,1933
411,2081
412,1838
413,2124
414,2095
415,1013
416,1450
417,1845
418,2227
419,2430
420,2104
421,2052
422,1675
423,2112
424,2254
425,1709
426,2699
427,2238
428,2063
429,1994
430,1971
431,2082
432,2388
433,2837
434,1990
435,2137
436,2212
437,2804
438,3034
439,3074
440,2885
441,2492
442,2471
443,2093
444,2960
445,2917
446,2559
447,2883
448,3172
449,2847
450,2139
451,2446
452,2503
453,3004
454,3211
455,2338
456,2518
457,2916
458,3148
459,3579
460,3817
461,3562
462,3517
463,3945
464,4000
465,3383
466,3523
467,3070
468,3383
469,3549
470,4115
471,4152
472,4202
473,3968
474,3083
475,3358
476,3782
477,4331
478,1293
479,1658
480,3376
481,3592
482,3048
483,3754
484,2928
485,3664
486,2974
487,4327
488,4396
489,4019
490,4644
491,4195
492,4184
493,3923
494,4018
495,4100
496,4540
497,4846
498,5116
499,4817
500,3903
501,4175
502,4557
503,4710
504,4727
505,5151
506,4827
507,3894
508,4228
509,4222
510,4557
511,4604
512,5006
513,4780
514,5017
515,4660
516,4383
517,4710
518,4161
519,5096
520,4981
521,4695
522,4319
523,4652
524,4750
525,4994
526,5145
527,4984
528,4484
529,4263
530,4865
531,4822
532,4921
533,5172
534,4900
535,4128
536,4705
537,4586
538,4465
539,4679
540,5260
541,5189
542,4770
543,5175
544,5240
545,4947
546,4377
547,5130
548,4436
549,4572
550,4729
551,4685
552,4610
553,4489
554,4477
555,4286
556,4407
557,4645
558,4886
559,4915
560,4724
561,4247
562,4526
563,4322
564,4424
565,4581
566,4686
567,4105
568,2373
569,4698
570,4417
571,4596
572,5072
573,4719
574,4570
575,5045
576,4783
577,4476
578,4713
579,4748
580,4581
581,4189
582,4426
583,3992
584,4383
585,4580
586,4551
587,4670
588,4113
589,3795
590,4983
591,4711
592,4707
593,4874
594,4885
595,5107
596,5142
597,4737
598,4483
599,4861
600,4802
601,4725
602,4565
603,3617
604,3789
605,4496
606,4819
607,4970
608,4726
609,4690
610,4121
611,4462
612,4879
613,4332
614,4464
615,4108
616,4517
617,3053
618,4713
619,4797
620,5200
621,4963
622,4735
623,4696
624,4890
625,5042
626,4285
627,3243
628,4980
629,4787
630,4730
631,4559
632,5132
633,5231
634,5077
635,4909
636,4283
637,4268
638,5140
639,5174
640,4811
641,3417
642,4369
643,4162
644,4767
645,4765
646,4217
647,4036
648,3948
649,4881
650,4798
651,4655
652,4861
653,4428
654,3923
655,5028
656,4718
657,3765
658,3872
659,5150
660,4960
661,5087
662,5009
663,4944
664,3857
665,3871
666,3720
667,2935
668,1914
669,3188
670,3931
671,3629
672,4001
673,3207
674,3925
675,4168
676,4102
677,3040
678,4306
679,4042
680,4274
681,4212
682,4106
683,2925
684,3891
685,3375
686,4056
687,3931
688,3510
689,3654
690,4004
691,4193
692,2376
693,4093
694,3494
695,3741
696,4472
697,2781
698,4013
699,3882
700,3716
701,3064
702,3138
703,4223
704,4197
705,4193
706,3695
707,2889
708,3097
709,2920
710,3029
711,3193
712,3472
713,3897
714,3440
715,3560
716,3280
717,3398
718,4082
719,3828
720,3233
721,1560
722,1262
723,1911
724,2605
725,1096
726,747
727,1431
728,2248
729,1243
730,1467
731,2428
