"id","cnt"
366,2269
367,2004
368,2088
369,1975
370,2374
371,2617
372,2484
373,2259
374,2297
375,2450
376,2206
377,2575
378,2429
379,1882
380,1826
381,1787
382,2351
383,2391
384,2204
385,2220
386,1557
387,1542
388,2214
389,2520
390,2402
391,2602
392,2558
393,2280
394,2194
395,2474
396,2759
397,3001
398,2704
399,2637
400,1876
401,1858
402,2512
403,2740
404,2282
405,2476
406,2509
407,1534
408,1816
409,2452
410,2594
411,2669
412,2589
413,2712
414,2396
415,1924
416,1992
417,2507
418,2766
419,3027
420,2664
421,2367
422,2175
423,2706
424,2788
425,2446
426,3075
427,2706
428,2389
429,2362
430,2441
431,2523
432,2760
433,3154
434,2618
435,2319
436,2443
437,3048
438,3258
439,3350
440,3277
441,2930
442,2706
443,2540
444,3200
445,3231
446,3056
447,3338
448,3415
449,2726
450,2431
451,3114
452,3074
453,3387
454,3523
455,2881
456,2506
457,2733
458,3353
459,3672
460,3906
461,3774
462,3596
463,3423
464,3344
465,3587
466,3608
467,3340
468,3572
469,3669
470,3469
471,3388
472,3400
473,3967
474,3318
475,3642
476,3710
477,3519
478,2077
479,2485
480,3493
481,3770
482,3205
483,3703
484,2789
485,3023
486,3243
487,3948
488,3955
489,3754
490,4042
491,3302
492,3459
493,3660
494,3662
495,3666
496,4045
497,4237
498,4011
499,3745
500,3599
501,3769
502,4075
503,4180
504,4163
505,4030
506,3755
507,3575
508,3826
509,3798
510,4055
511,3967
512,3734
513,3676
514,3893
515,4041
516,3910
517,4173
518,3499
519,3859
520,3783
521,4078
522,3813
523,4093
524,4174
525,4170
526,3900
527,3824
528,3970
529,3682
530,4112
531,4102
532,4071
533,3866
534,3675
535,3651
536,4038
537,4060
538,3956
539,3880
540,3869
541,3911
542,4090
543,4338
544,4399
545,4202
546,3758
547,3777
548,3488
549,3978
550,4116
551,3777
552,3982
553,3833
554,3483
555,3420
556,3770
557,3911
558,4084
559,4136
560,3906
561,3118
562,3385
563,3761
564,3967
565,3987
566,3970
567,3352
568,2138
569,3548
570,3779
571,3876
572,4242
573,3889
574,3783
575,3632
576,3488
577,3793
578,3910
579,3954
580,3910
581,3443
582,3289
583,3165
584,3795
585,3873
586,3850
587,3931
588,3348
589,2792
590,3558
591,3918
592,3903
593,3994
594,4062
595,4066
596,3573
597,3487
598,3729
599,3991
600,3971
601,3999
602,3740
603,2675
604,2973
605,3738
606,3953
607,4069
608,4007
609,3780
610,3085
611,3339
612,3459
613,3712
614,3715
615,3539
616,3660
617,2400
618,3242
619,3810
620,4048
621,3981
622,3955
623,3790
624,3382
625,3335
626,3540
627,3159
628,3924
629,3931
630,3745
631,3193
632,3422
633,3878
634,3901
635,3881
636,3663
637,3450
638,3424
639,3368
640,3703
641,3195
642,3727
643,3626
644,3828
645,3226
646,2988
647,2960
648,3312
649,3834
650,3897
651,3656
652,3340
653,3111
654,3361
655,3800
656,3800
657,3265
658,3267
659,3423
660,3239
661,3753
662,3821
663,3955
664,3414
665,3262
666,2658
667,2699
668,2571
669,2981
670,3331
671,3285
672,3366
673,2504
674,2801
675,3385
676,3387
677,2882
678,3594
679,3402
680,3062
681,2888
682,2939
683,3013
684,3350
685,3172
686,3434
687,2897
688,2652
689,3224
690,3395
691,3523
692,2734
693,3448
694,2845
695,2750
696,3459
697,2911
698,3390
699,3484
700,3377
701,2536
702,2601
703,3418
704,3494
705,3448
706,3357
707,2905
708,2483
709,2544
710,3049
711,3157
712,3150
713,3437
714,3205
715,2762
716,2668
717,3166
718,3433
719,3300
720,3141
721,2398
722,2051
723,2057
724,2742
725,1947
726,2141
727,2414
728,2636
729,1994
730,2020
731,2656
