"id","cnt"
366,1795
367,1262
368,1340
369,1358
370,1593
371,1939
372,2169
373,1705
374,1490
375,1783
376,1456
377,1887
378,1718
379,1282
380,1126
381,984
382,1609
383,1804
384,1475
385,1457
386,626
387,417
388,1305
389,1757
390,1690
391,1721
392,1809
393,1877
394,1545
395,1787
396,2142
397,2569
398,2116
399,2055
400,1115
401,979
402,1920
403,2212
404,1606
405,1758
406,1813
407,45
408,926
409,1870
410,1936
411,2147
412,1786
413,2103
414,2188
415,926
416,1386
417,1889
418,2306
419,2444
420,1995
421,1925
422,1679
423,2111
424,2263
425,1820
426,2841
427,2153
428,2007
429,1969
430,1947
431,2105
432,2556
433,3158
434,1888
435,2159
436,2249
437,2815
438,3162
439,3101
440,2958
441,2391
442,2543
443,2286
444,3127
445,3069
446,2955
447,3197
448,3243
449,3465
450,2605
451,2489
452,2479
453,3190
454,3499
455,2413
456,2967
457,3015
458,3079
459,3454
460,3776
461,3631
462,3549
463,4002
464,3764
465,3231
466,3428
467,3088
468,3524
469,3610
470,4351
471,4068
472,4154
473,3833
474,3078
475,3406
476,3771
477,4502
478,1393
479,1686
480,3285
481,3548
482,3223
483,3738
484,3055
485,3715
486,2887
487,4164
488,4384
489,3961
490,4656
491,3971
492,4199
493,3823
494,3960
495,4013
496,4638
497,4803
498,4969
499,4708
500,3882
501,4079
502,4535
503,4708
504,4691
505,4999
506,4693
507,3910
508,4110
509,4117
510,4541
511,4632
512,4902
513,4705
514,4883
515,4702
516,4227
517,4651
518,4090
519,4933
520,4882
521,4705
522,4153
523,4662
524,4751
525,4970
526,4918
527,4840
528,4322
529,4197
530,4922
531,4875
532,4912
533,4994
534,4858
535,4056
536,4692
537,4504
538,4348
539,4606
540,5139
541,4975
542,4732
543,5140
544,5128
545,4826
546,4230
547,5006
548,4493
549,4579
550,4701
551,4501
552,4472
553,4378
554,4133
555,4330
556,4474
557,4622
558,4864
559,4866
560,4646
561,4228
562,4658
563,4440
564,4435
565,4519
566,4626
567,4071
568,2522
569,4863
570,4519
571,4688
572,4984
573,4692
574,4528
575,4921
576,4870
577,4559
578,4757
579,4764
580,4580
581,4086
582,4225
583,4152
584,4445
585,4516
586,4489
587,4656
588,4053
589,3805
590,5011
591,4699
592,4716
593,4866
594,4868
595,5250
596,5112
597,4821
598,4454
599,4898
600,4858
601,4760
602,4573
603,3611
604,4043
605,4569
606,4804
607,4963
608,4754
609,4688
610,4138
611,4654
612,4948
613,4491
614,4523
615,4145
616,4596
617,3121
618,4733
619,4616
620,5042
621,4980
622,4827
623,4803
624,4889
625,4991
626,4181
627,3353
628,4955
629,4851
630,4802
631,4588
632,4908
633,4860
634,4890
635,4854
636,4190
637,4199
638,5055
639,4916
640,4586
641,3424
642,4292
643,4069
644,4654
645,4583
646,3933
647,3771
648,3670
649,4651
650,4670
651,4485
652,4497
653,4191
654,3866
655,4703
656,4408
657,3708
658,3767
659,4821
660,4662
661,4724
662,4778
663,4769
664,3728
665,3753
666,3674
667,2791
668,1982
669,2769
670,3539
671,3463
672,3880
673,3081
674,3487
675,3587
676,3608
677,2876
678,4410
679,3879
680,3797
681,3802
682,3802
683,2631
684,3631
685,3177
686,3858
687,3576
688,3067
689,3252
690,3625
691,3964
692,2164
693,3899
694,3487
695,3269
696,3981
697,2363
698,3764
699,3684
700,3457
701,2602
702,2646
703,3976
704,4014
705,4182
706,3602
707,2728
708,2819
709,2477
710,2847
711,2883
712,3226
713,3829
714,3258
715,3086
716,2809
717,3192
718,3815
719,3664
720,3091
721,1518
722,1288
723,1822
724,2381
725,730
726,592
727,1502
728,2154
729,989
730,1358
731,2133
