"id","cnt"
366,1088
367,1443
368,1398
369,1466
370,1817
371,1318
372,1805
373,1426
374,1205
375,1392
376,1464
377,1286
378,1595
379,1401
380,1334
381,1344
382,1052
383,1611
384,1407
385,1508
386,675
387,821
388,1149
389,1310
390,1232
391,1171
392,1745
393,1530
394,1506
395,1547
396,1663
397,3000
398,1761
399,1359
400,1322
401,1061
402,1133
403,1511
404,1479
405,1462
406,1297
407,641
408,852
409,1275
410,1482
411,1520
412,1467
413,1280
414,1624
415,1277
416,1369
417,1404
418,1679
419,2437
420,2345
421,1531
422,1398
423,1392
424,1468
425,1343
426,3044
427,1802
428,2376
429,1395
430,1424
431,1847
432,1902
433,2606
434,1981
435,1894
436,1541
437,2736
438,3495
439,3712
440,3227
441,2953
442,3514
443,3269
444,2911
445,3364
446,3635
447,2973
448,4000
449,3395
450,2616
451,2680
452,1661
453,3122
454,3354
455,1874
456,2538
457,2966
458,3112
459,3365
460,4184
461,3163
462,2602
463,3261
464,3022
465,3430
466,3152
467,1688
468,2093
469,3266
470,3568
471,4315
472,4252
473,4542
474,3064
475,2929
476,3843
477,4085
478,904
479,1259
480,3080
481,3327
482,3234
483,3410
484,2172
485,2687
486,3084
487,5124
488,4423
489,4529
490,5162
491,4803
492,4587
493,4460
494,4399
495,4005
496,3905
497,4842
498,4993
499,4959
500,4432
501,4972
502,5092
503,4973
504,5123
505,5421
506,5014
507,4529
508,4781
509,4963
510,5137
511,5136
512,5175
513,4933
514,4659
515,4930
516,5091
517,5459
518,4646
519,4745
520,5084
521,4921
522,4295
523,5043
524,5302
525,5456
526,5062
527,5082
528,4942
529,4619
530,4440
531,5301
532,5427
533,5331
534,4747
535,4654
536,5223
537,4598
538,4669
539,4930
540,5235
541,5012
542,5137
543,4455
544,5326
545,4973
546,4207
547,5113
548,4110
549,4998
550,5080
551,4667
552,4218
553,4190
554,3471
555,4039
556,5125
557,5381
558,5248
559,5280
560,5705
561,4969
562,4801
563,4615
564,4317
565,4640
566,4616
567,4531
568,3642
569,5107
570,4900
571,4911
572,5205
573,4795
574,4892
575,5062
576,5274
577,4977
578,5251
579,5117
580,4866
581,4496
582,4736
583,4559
584,4916
585,5001
586,4778
587,4902
588,4498
589,4644
590,5098
591,5133
592,5009
593,5133
594,5150
595,3259
596,5583
597,5117
598,4737
599,5592
600,5576
601,5246
602,5652
603,4086
604,4519
605,4817
606,5231
607,5326
608,5582
609,5104
610,4948
611,5611
612,4627
613,4599
614,4750
615,4949
616,5225
617,4409
618,4981
619,4547
620,4941
621,5456
622,5471
623,5507
624,5215
625,4605
626,4511
627,2728
628,5027
629,4449
630,5552
631,5214
632,4814
633,4754
634,4839
635,5142
636,4925
637,4925
638,4817
639,4646
640,4644
641,3965
642,5207
643,4673
644,5344
645,4894
646,2957
647,2867
648,3829
649,4804
650,3890
651,4161
652,3690
653,4685
654,4201
655,3780
656,3727
657,4433
658,4516
659,4327
660,3561
661,4040
662,4606
663,4809
664,4259
665,4347
666,4426
667,1217
668,1111
669,3256
670,3346
671,1835
672,3518
673,3408
674,3355
675,3017
676,2906
677,3048
678,2502
679,3527
680,3768
681,3341
682,3114
683,3160
684,2927
685,2790
686,3441
687,3683
688,3202
689,3245
690,2670
691,3119
692,2534
693,2607
694,2733
695,2431
696,3296
697,3151
698,2907
699,2046
700,3554
701,3620
702,3592
703,3285
704,2625
705,2913
706,1793
707,3717
708,3636
709,3263
710,2919
711,3441
712,2671
713,2328
714,3514
715,3778
716,3611
717,3705
718,3194
719,3338
720,3034
721,1779
722,1670
723,1977
724,1777
725,1326
726,1004
727,1657
728,1333
729,1591
730,1406
731,1787
